zeros(find_zero(200, 4, 40, 125, 15, 36))
79
1/2 + i(np.float64(14.134725141729259), np.float64(14.134725141735874))
1/2 + i(np.float64(21.02203963876739), np.float64(21.022039638774))
1/2 + i(np.float64(25.010857580141007), np.float64(25.010857580147622))
1/2 + i(np.float64(30.424876125854844), np.float64(30.42487612586146))
1/2 + i(np.float64(32.93506158773776), np.float64(32.93506158774437))
1/2 + i(np.float64(37.58617815882395), np.float64(37.58617815883056))
1/2 + i(np.float64(40.91871901214208), np.float64(40.91871901214869))
1/2 + i(np.float64(43.32707328090858), np.float64(43.32707328091519))
1/2 + i(np.float64(48.00515088116464), np.float64(48.005150881171254))
1/2 + i(np.float64(49.773832477671526), np.float64(49.77383247767814))
1/2 + i(np.float64(52.97032147770964), np.float64(52.970321477716254))
1/2 + i(np.float64(56.44624769706172), np.float64(56.44624769706834))
1/2 + i(np.float64(59.34704400259678), np.float64(59.3470440026034))
1/2 + i(np.float64(60.831778524608886), np.float64(60.8317785246155))
1/2 + i(np.float64(65.11254404807748), np.float64(65.11254404808409))
1/2 + i(np.float64(67.07981052949353), np.float64(67.07981052950014))
1/2 + i(np.float64(69.5464017111689), np.float64(69.54640171117552))
1/2 + i(np.float64(72.06715767447763), np.float64(72.06715767448424))
1/2 + i(np.float64(75.70469069907793), np.float64(75.70469069908455))
1/2 + i(np.float64(77.1448400688744), np.float64(77.14484006888101))
1/2 + i(np.float64(79.3373750202458), np.float64(79.33737502025241))
1/2 + i(np.float64(82.91038085408215), np.float64(82.91038085408876))
1/2 + i(np.float64(84.73549298051118), np.float64(84.73549298051779))
1/2 + i(np.float64(87.42527461312422), np.float64(87.42527461313082))
1/2 + i(np.float64(88.80911120763236), np.float64(88.80911120763896))
1/2 + i(np.float64(92.49189927055508), np.float64(92.49189927056169))
1/2 + i(np.float64(94.65134404051983), np.float64(94.65134404052645))
1/2 + i(np.float64(95.87063422824113), np.float64(95.87063422824774))
1/2 + i(np.float64(98.83119421819258), np.float64(98.83119421819919))
1/2 + i(np.float64(101.31785100572665), np.float64(101.31785100573326))
1/2 + i(np.float64(103.72553804047294), np.float64(103.72553804047956))
1/2 + i(np.float64(105.4466230523196), np.float64(105.4466230523262))
1/2 + i(np.float64(107.16861118427587), np.float64(107.1686111842825))
1/2 + i(np.float64(111.02953554316957), np.float64(111.02953554317618))
1/2 + i(np.float64(111.87465917698731), np.float64(111.87465917699393))
1/2 + i(np.float64(114.32022091544984), np.float64(114.32022091545645))
1/2 + i(np.float64(116.22668032085298), np.float64(116.22668032085959))
1/2 + i(np.float64(118.79078286597425), np.float64(118.79078286598086))
1/2 + i(np.float64(121.3701250024182), np.float64(121.37012500242483))
1/2 + i(np.float64(122.94682929355156), np.float64(122.94682929355818))
1/2 + i(np.float64(124.25681855434296), np.float64(124.25681855434956))
1/2 + i(np.float64(127.51668387959153), np.float64(127.51668387959813))
1/2 + i(np.float64(129.5787041999508), np.float64(129.57870419995743))
1/2 + i(np.float64(131.08768853093017), np.float64(131.0876885309368))
1/2 + i(np.float64(133.4977372029971), np.float64(133.49773720300368))
1/2 + i(np.float64(134.7565097533714), np.float64(134.756509753378))
1/2 + i(np.float64(138.11604205452815), np.float64(138.11604205453477))
1/2 + i(np.float64(139.73620895211664), np.float64(139.73620895212326))
1/2 + i(np.float64(141.12370740402014), np.float64(141.12370740402676))
1/2 + i(np.float64(143.11184580761955), np.float64(143.11184580762614))
1/2 + i(np.float64(146.00098248676326), np.float64(146.00098248676989))
1/2 + i(np.float64(147.42276534255572), np.float64(147.42276534256234))
1/2 + i(np.float64(150.05352042078314), np.float64(150.05352042078977))
1/2 + i(np.float64(150.92525761223936), np.float64(150.92525761224599))
1/2 + i(np.float64(153.0246938111933), np.float64(153.0246938111999))
1/2 + i(np.float64(156.11290929423623), np.float64(156.11290929424285))
1/2 + i(np.float64(157.597591817592), np.float64(157.59759181759858))
1/2 + i(np.float64(158.84998817141673), np.float64(158.84998817142332))
1/2 + i(np.float64(161.18896413759185), np.float64(161.18896413759848))
1/2 + i(np.float64(163.03070968718117), np.float64(163.03070968718777))
1/2 + i(np.float64(165.53706918789507), np.float64(165.5370691879017))
1/2 + i(np.float64(167.18443997816803), np.float64(167.18443997817465))
1/2 + i(np.float64(169.09451541556342), np.float64(169.09451541557004))
1/2 + i(np.float64(169.9119764794093), np.float64(169.9119764794159))
1/2 + i(np.float64(173.4115365195877), np.float64(173.41153651959434))
1/2 + i(np.float64(174.75419152336224), np.float64(174.75419152336883))
1/2 + i(np.float64(176.44143429770665), np.float64(176.44143429771327))
1/2 + i(np.float64(178.3774077760939), np.float64(178.3774077761005))
1/2 + i(np.float64(179.91648402025348), np.float64(179.9164840202601))
1/2 + i(np.float64(182.20707848436592), np.float64(182.20707848437252))
1/2 + i(np.float64(184.87446784838207), np.float64(184.8744678483887))
1/2 + i(np.float64(185.5987836777058), np.float64(185.59878367771242))
1/2 + i(np.float64(187.2289225835001), np.float64(187.22892258350672))
1/2 + i(np.float64(189.4161586560155), np.float64(189.41615865602213))
1/2 + i(np.float64(192.02665636071208), np.float64(192.0266563607187))
1/2 + i(np.float64(193.0797266038413), np.float64(193.07972660384792))
1/2 + i(np.float64(195.2653966795267), np.float64(195.2653966795333))
1/2 + i(np.float64(196.87648184095454), np.float64(196.87648184096116))
1/2 + i(np.float64(198.01530967624618), np.float64(198.0153096762528))
